,Register Page,JPEG number,Number,Letter,CertMonth,CertDay,CertYear,First name,Last name,Title,DueMonth,DueDay,DueYear,Dollars,90th,8th,DeliveryMonth,DeliveryDay,DeliveryYear,LS?,LSnote,Notes
361,14.0,125.0,349.0,C,11.0,10.0,1784.0,William,Billings,,10.0,1,1782.0,3.0,61.0,,11.0,15.0,1784.0,1.0,552,
362,14.0,125.0,350.0,B,11.0,10.0,1784.0,Ephraim,Carpenter,,8.0,1,1781.0,113.0,77.0,4.0,11.0,17.0,1784.0,1.0,53,
363,14.0,125.0,351.0,A,11.0,10.0,1784.0,Ephraim,Carpenter,,7.0,1,1782.0,88.0,,,11.0,17.0,1784.0,1.0,LO 93.289,
364,14.0,125.0,352.0,D,11.0,10.0,1784.0,Philip,Martin,,8.0,1,1782.0,278.0,85.0,,11.0,15.0,1784.0,1.0,No 53,
365,14.0,125.0,353.0,E,11.0,10.0,1784.0,Peleg,Hull,,7.0,20,1780.0,14.0,67.0,5.0,11.0,23.0,1784.0,1.0,LO 128.369,
366,14.0,125.0,354.0,G,11.0,10.0,1784.0,Peleg,Hull,,10.0,1,1782.0,53.0,85.0,,11.0,23.0,1784.0,1.0,LO 128.369,
367,14.0,125.0,355.0,H,11.0,12.0,1784.0,Benjamin,Taylor,,1.0,31,1782.0,2.0,60.0,,11.0,15.0,1784.0,1.0,53,
368,14.0,125.0,356.0,I,11.0,12.0,1784.0,Solomon & William,Drown,,2.0,25,1780.0,1.0,49.0,1.0,9.0,9.0,1788.0,,,Second name present
369,14.0,125.0,357.0,L,11.0,12.0,1784.0,Adam,Helme,,4.0,16,1782.0,1.0,22.0,4.0,9.0,9.0,1788.0,,,
370,14.0,125.0,358.0,R,11.0,12.0,1784.0,Adam,Helme,,4.0,16,1782.0,1.0,22.0,4.0,9.0,9.0,1788.0,,,
371,14.0,125.0,359.0,N,11.0,12.0,1784.0,Samual,Sandford,,8.0,5,1780.0,20.0,18.0,6.0,12.0,15.0,1784.0,1.0,1065.185,
372,14.0,125.0,360.0,P,11.0,13.0,1784.0,Ebenez,Slocum,,3.0,7,1777.0,33.0,11.0,2.0,12.0,20.0,1784.0,1.0,LO 128.409,
373,14.0,125.0,361.0,I,11.0,13.0,1784.0,Ebenez,Slocum,,3.0,29,1777.0,21.0,37.0,2.0,12.0,20.0,1784.0,1.0,LO 92.220,
374,14.0,125.0,362.0,G,11.0,13.0,1784.0,Ebenez,Slocum,,10.0,29,1777.0,11.0,85.0,,12.0,20.0,1784.0,1.0,LO 128.409,
375,14.0,125.0,363.0,E,11.0,13.0,1784.0,Joseph,Durfee,,2.0,25,1780.0,4.0,60.0,1.0,2.0,10.0,1785.0,1.0,LO 92.248,
376,,,,,,,,,,,,,,26074.0,54.0,7.0,,,,,,
377,15.0,126.0,364.0,L,11.0,13.0,1784.0,Daniel,Boomer,,2.0,26,1780.0,5.0,19.0,7.0,2.0,10.0,1785.0,1.0,269,
378,15.0,126.0,365.0,H,11.0,16.0,1784.0,Amos,Snell,,2.0,27,1780.0,2.0,15.0,,2.0,10.0,1785.0,1.0,933,
379,15.0,126.0,366.0,L,11.0,16.0,1784.0,John,Stanfield,,5.0,7,1779.0,34.0,60.0,,1.0,24.0,1785.0,1.0,LO 110.346,
380,15.0,126.0,367.0,I,11.0,16.0,1784.0,John,Stanfield,,8.0,5,1780.0,37.0,51.0,3.0,1.0,24.0,1785.0,1.0,2060,
381,15.0,126.0,368.0,H,11.0,16.0,1784.0,John,Stanfield,,8.0,22,1782.0,7.0,25.0,5.0,1.0,24.0,1785.0,1.0,RO,
382,15.0,126.0,369.0,A,11.0,16.0,1784.0,Ebenezer,Fisher,,3.0,1,1780.0,12.0,3.0,7.0,1.0,19.0,1785.0,1.0,RO,
